Data,EZTC3,LREN3,SAPR4,RADL3,ALPA4,FLRY3,LAME4,GRND3,HGTX3,ITUB3
Set-15,6.91,14.21,0.90,37.48,4.63,6.69,13.14,4.71,10.99,10.76
Out-15,7.59,14.29,0.87,38.33,5.83,6.75,13.56,4.87,12.00,10.89
Nov-15,7.83,13.51,0.83,38.00,5.50,6.68,13.99,4.60,11.96,11.13
Dez-15,7.63,13.24,0.77,34.12,5.21,6.59,15.74,4.55,12.21,10.89
Jan-16,7.38,13.74,0.65,39.89,5.33,6.01,15.15,4.12,10.39,10.03
Fev-16,8.01,13.94,0.76,44.25,6.50,6.71,16.17,4.45,10.63,10.37
Mar-16,9.64,16.15,0.97,50.34,5.70,8.88,16.23,4.62,11.81,12.21
Abr-16,9.98,16.28,1.07,53.08,6.81,10.35,15.65,4.69,11.49,13.06
Mai-16,10.52,16.38,1.22,55.68,7.38,10.75,15.01,4.64,10.60,11.65
Jun-16,10.68,18.62,1.32,61.04,7.73,11.40,15.70,4.62,12.37,11.91
Jul-16,11.88,21.42,1.56,64.07,8.50,12.94,18.74,4.82,15.42,13.44
Ago-16,11.07,20.14,1.99,57.69,7.74,15.95,18.82,5.08,14.87,14.26
Set-16,10.16,19.29,2.27,64.22,7.19,16.00,19.76,5.05,14.99,14.49
Out-16,11.03,21.28,2.60,68.66,7.90,17.62,20.28,5.62,16.14,17.04
Nov-16,9.84,17.72,2.97,62.48,7.74,16.29,16.05,5.00,14.19,15.65
Dez-16,10.44,18.32,2.85,59.44,7.56,15.72,16.65,5.04,12.99,15.61
Jan-17,12.19,18.88,3.85,63.63,7.85,16.75,16.41,5.30,13.31,16.74
Fev-17,12.83,20.20,3.93,57.70,8.93,19.10,16.09,5.73,14.96,18.64
Mar-17,12.85,22.04,3.00,57.15,9.35,18.85,16.05,6.49,15.44,17.99
Abr-17,13.56,23.55,2.81,65.70,10.12,23.41,16.52,7.22,18.92,18.15
Mai-17,12.55,23.10,2.85,70.13,9.11,25.30,14.32,7.80,19.03,17.21
Jun-17,12.52,24.04,2.98,68.43,10.50,23.89,13.73,7.60,17.54,17.36
Jul-17,13.81,25.73,2.98,67.35,11.40,26.77,15.37,7.84,19.09,17.65
Ago-17,15.71,26.87,2.94,67.69,10.63,28.44,17.43,8.13,24.32,19.26
Set-17,15.87,31.73,3.05,73.36,12.09,26.44,18.88,7.98,25.92,20.75
Out-17,15.16,30.34,3.05,76.50,13.32,25.91,17.25,8.21,26.61,20.77
Nov-17,15.34,29.85,2.99,86.07,12.85,23.53,14.55,7.82,23.37,20.07
Dez-17,17.17,31.29,3.29,89.95,13.51,26.57,16.73,8.57,23.58,20.47
Jan-18,17.67,33.38,3.07,82.73,12.37,27.04,16.66,8.81,20.57,24.09
Fev-18,19.28,30.44,2.99,76.17,13.44,24.45,16.64,8.56,21.17,24.92
Mar-18,18.30,30.35,3.14,73.44,13.64,25.03,18.57,8.24,19.00,25.80
Abr-18,16.35,28.93,3.09,67.53,12.31,24.08,19.66,8.23,17.75,25.22
Mai-18,14.63,26.33,2.58,61.14,10.45,22.67,17.51,7.26,15.78,21.86
Jun-18,13.12,26.13,2.60,65.34,9.60,24.39,16.43,7.38,13.45,20.55
Jul-18,14.09,27.47,2.50,73.17,10.11,25.25,17.88,7.26,13.92,22.90
Ago-18,13.06,25.16,2.56,75.77,9.67,23.86,15.37,6.71,15.49,21.85
Set-18,13.67,27.65,2.50,71.43,9.78,19.77,15.64,6.30,16.77,22.03
Out-18,19.51,33.53,3.03,61.95,12.13,19.36,18.53,6.83,21.38,24.78
Nov-18,18.71,34.87,3.14,61.27,13.02,20.05,19.43,7.32,24.59,27.07
Dez-18,20.35,37.90,3.22,56.51,13.60,18.36,19.42,7.73,27.88,26.38
Jan-19,22.52,40.67,4.19,61.31,16.02,20.81,20.85,8.62,29.99,28.87
Fev-19,21.69,38.69,4.25,64.68,15.32,18.68,19.70,8.18,29.02,28.90
Mar-19,21.80,39.24,4.32,64.74,15.36,19.74,16.59,7.90,28.73,27.74
Abr-19,21.42,42.24,4.49,68.55,15.63,20.07,15.55,7.06,30.84,27.29
Mai-19,21.81,43.65,4.26,68.83,18.33,19.16,15.97,6.83,28.51,28.01
Jun-19,25.47,46.82,4.63,75.62,20.38,20.65,16.30,7.54,28.85,28.97
Jul-19,32.56,47.12,5.14,82.48,20.72,22.76,17.96,7.35,31.04,27.84
Ago-19,38.72,50.19,5.65,91.46,24.74,23.42,18.53,7.80,32.45,28.60
Set-19,35.88,50.19,5.31,95.36,25.86,25.78,19.75,8.46,34.11,28.83
Out-19,40.84,50.47,5.86,109.48,27.20,24.83,19.78,9.66,30.92,29.85
Nov-19,42.96,51.51,5.97,112.46,31.73,27.81,22.04,10.53,31.50,28.70
Dez-19,51.44,55.96,6.81,111.28,33.15,29.79,25.90,12.03,33.55,30.74
Jan-20,55.11,57.21,6.53,123.82,35.78,30.36,27.55,11.24,24.46,28.26
Fev-20,46.09,53.08,6.49,119.51,31.54,29.76,26.60,9.50,22.22,28.42
Mar-20,29.44,33.49,4.73,101.65,23.16,20.24,18.00,7.38,14.67,21.94
Abr-20,30.21,38.33,4.90,104.64,27.39,22.80,24.88,6.83,14.75,21.88
Mai-20,32.61,38.49,5.23,109.29,24.83,23.35,28.25,7.26,13.13,21.83
Jun-20,39.90,41.80,6.18,110.62,29.28,24.59,32.18,7.33,14.12,23.90
Jul-20,41.17,41.13,6.06,124.10,31.46,25.61,34.10,7.62,14.80,24.81
