Data,GOOGL,B3SA3,BBAS3,ITSA4,RENT3,VVAR3,OZ1D,VALE3,FLMA11,RADL3, NTN-F
Ago-14,582.36,10.96098112,25.22844763,5.371579844,10.94713271,7.222374048,92.5,23.73348614,1.241827238,20.50272043,536.3992138
Set-14,588.41,9.085435464,18.43522277,4.574602219,9.749403764,6.740882445,95,21.88338265,1.206904057,19.75838612,517.2542559
Out-14,567.87,8.849977351,20.20587856,4.88056267,9.833816764,7.222374048,93.79,21.14066564,1.204709439,21.22092187,527.056017
Nov-14,549.08,8.65058419,21.65408043,5.171718582,9.635598733,7.222374048,97.3,19.70310037,1.222232213,23.02314333,536.6050508
Dez-14,530.66,8.084274599,17.5995781,4.657752765,9.831063736,6.548285803,101.4,18.52767936,1.260182135,23.99168976,528.9902785
Jan-15,537.55,7.468720696,15.29689876,4.533744438,9.63006533,7.607567331,109,15.7371115,1.297120678,24.46489863,543.9345898
Fev-15,562.63,8.240214921,17.62858346,5.155632485,9.657658641,7.414970689,111.2,17.96956579,1.165340583,27.05699011,541.4830524
Mar-15,554.7,9.159442084,17.29877875,5.107018581,10.01637168,7.4149,122.8,15.17054166,1.140559834,27.29239547,533.1257219
Abr-15,548.77,10.27085986,20.1001087,5.429405525,9.719445459,5.467931681,115.5,19.78853471,1.15682341,32.59077951,542.6724587
Mai-15,545.32,9.388840923,17.49078748,4.964758945,8.896366268,6.362684138,121.9,17.51700313,1.228810702,33.94396392,557.1823676
Jun-15,540.04,9.798505398,18.91295674,5.023963907,8.545523655,6.839885448,118.89,15.97935098,1.363624026,38.30060811,555.2452807
Jul-15,657.5,8.728361464,17.17589358,4.736396949,7.855933763,7.655104354,119.5,15.61241127,1.374785652,41.57832982,559.2445651
Ago-15,647.82,9.136238113,13.99506519,4.151392309,6.265177069,7.655104354,131.5,15.65609457,1.371369838,37.9374786,538.8637925
Set-15,638.37,9.390493348,12.12749394,4.079964361,6.83270538,2.704140759,141,14.48538214,1.296552492,37.47706928,519.6924997
Out-15,737.39,9.661698932,12.74184725,4.114249776,7.31125989,2.88309125,140.25,15.20418453,1.395331841,38.33012789,519.7922285
Nov-15,762.85,9.774893816,13.11781914,4.142820955,7.471545203,2.88309125,132.002,11.73734527,1.364095132,38.00424033,525.1954346
Dez-15,778.01,9.563474232,12.05716513,4.001894111,6.979441172,1.441545625,135.5,11.6125747,1.332958124,34.12010816,521.3637473
Jan-16,761.35,9.010215392,11.32915448,4.001894111,6.20664712,1.222828358,142,8.662642064,1.286150282,39.89013772,542.5790427
Fev-16,717.22,10.20455194,11.07557773,4.078149429,6.506649215,2.236881142,158.3,10.52528835,1.244184338,44.24651004,553.6738532
Mar-16,762.9,13.5065412,16.34134767,4.896176463,8.411379499,2.40588994,143.5,13.50195754,1.246486053,50.34001146,590.678202
Abr-16,707.88,15.08728074,18.27552843,5.189827194,9.393466063,2.953282579,143,17.54808871,1.317910756,53.07881668,626.7812585
Mai-16,748.85,14.06295396,13.72155898,4.706801707,9.466063996,2.58536522,140.3,12.6731245,1.64398955,55.68261038,622.3255114
Jun-16,703.53,15.90032483,14.43219708,5.01398245,9.821931064,3.08255084,136,14.50012206,1.614695729,61.03859222,643.6036809
Jul-16,791.34,16.86317783,17.68322169,5.522647336,11.53218455,2.883676592,140.3,16.48753891,1.680150733,64.07408762,652.8498937
Ago-16,789.85,15.92785148,19.62038704,5.733252807,11.53504613,2.87373288,134.55,15.09723833,1.72123253,57.69374697,658.3640566
Set-16,804.06,14.94959148,19.38075162,5.56963639,11.34904316,3.074782328,139,15.87259827,1.723156484,64.21770368,674.3039194
Out-16,809.9,16.71935276,24.89746557,6.30424071,11.38600664,3.731531951,129.5,19.67810049,1.764915649,68.65519738,684.9673238
Nov-16,775.88,14.84581059,24.32025945,5.74994836,9.958087055,3.612122929,127,25.00758604,1.774275358,62.48339937,681.8517292
Dez-16,792.45,14.94499294,24.04221842,5.736637718,9.897085339,3.582270673,118.8,23.02095236,1.7523358,59.4411097,697.4836922
Jan-17,820.19,16.74744966,26.62703507,6.42946836,10.65773217,3.233994358,121.69,28.84790681,2.003724508,63.62792426,717.9017539
Fev-17,844.93,17.22750095,28.33027518,7.116879831,11.14362063,4.020103755,124.2,29.33199226,1.803597332,57.70227025,734.8363242
Mar-17,847.8,17.47205538,28.98735459,6.744175401,12.10712308,3.622073681,125,26.70538048,1.888213539,57.14686516,746.6760741
Abr-17,924.52,17.21844338,28.19764875,7.021041549,13.74290668,4.477838341,129,25.44714663,1.937372255,65.69892713,749.8837405
Mai-17,987.09,16.74629792,24.49432585,6.353723141,13.26466515,3.67182744,131,25.16923823,1.837336101,70.13080435,750.1491348
Jun-17,929.68,17.95544972,23.23045631,6.414167066,13.77414056,4.000202252,131.5,26.86447952,1.863758299,68.43014273,761.0363667
Jul-17,945.5,18.62821087,24.87739165,6.577721215,15.89592298,5.831140596,126.7,28.99511065,1.934711136,67.34673867,784.4741883
Ago-17,955.24,20.14690565,26.788091,7.311556833,18.23896365,6.667003753,132,32.4967566,1.996012743,67.68835256,792.8412628
Set-17,973.72,21.81367045,30.52174292,7.918161205,17.72961927,7.801389466,133.1,29.52313663,2.082239941,73.35739926,806.3779197
Out-17,1033.04,21.76813042,30.11945061,7.523329957,17.77877434,7.562571421,133.5,29.73619974,2.119586518,76.49709594,804.8717198
Nov-17,1036.17,21.23913151,26.35269952,7.451542458,18.46080094,7.323753376,132,32.55233829,2.356189901,86.07268179,806.2596222
Dez-17,1053.4,21.06587407,28.09238401,7.89978309,20.39485653,7.918286199,135.3,37.69369895,2.435857933,89.94947763,819.0707262
Jan-18,1182.22,24.11755908,35.03160898,9.673948793,23.83406172,8.088035084,136,38.80784454,2.252943779,82.72804353,828.7184402
Fev-18,1103.92,23.69217269,36.90325744,10.14705176,23.98198452,7.868360057,141,42.17836904,2.368411219,76.17290186,839.6446449
Mar-18,1037.14,24.68165843,36.50429906,10.67743943,26.61231444,8.137961226,141.45,39.96835375,2.359540765,73.44122032,854.3877311
Abr-18,1018.58,23.48560544,32.65190776,10.53806749,25.84322597,8.11,147.4,46.08528257,2.351576072,67.53057666,859.6802559
Mai-18,1100,20.20876009,27.20251235,8.695260682,22.91513009,6.5,156.2,47.94119286,2.185147467,61.13883408,847.8063401
Jun-18,1129.19,19.19355307,25.73815233,7.830270867,22.04897323,5.89,156.65,46.95642413,2.070291306,65.3409137,846.734335
Jul-18,1227.22,22.32834364,29.19685692,8.887954514,22.06755643,7.15,146.1,51.92761241,2.182049139,73.17395095,859.4919401
Ago-18,1231.8,20.42306674,27.29215639,8.355324706,20.00482063,5.7,157,52.23583834,2.121492705,75.7718427,852.2539055
Set-18,1207.08,22.1310445,26.78570027,8.81344956,21.20034049,5.06,154,58.27578981,2.096142767,71.42986794,862.5000264
Out-18,1090.58,25.10076586,38.88246814,9.808234956,26.79163908,5.6,145.99,55.24607222,2.302846246,61.95256529,890.4602878
Nov-18,1109.65,26.67074594,40.98067313,10.7681156,25.07697418,5.18,150.7,51.43700605,2.269125439,61.27209299,898.8883941
Dez-18,1044.96,25.55387061,42.81373919,10.56556915,27.87282594,4.39,158.2,49.68347175,2.553795249,56.51431617,912.4489977
Jan-19,1125.89,29.99553555,47.75909904,11.8075483,31.19882702,6,154.99,44.32545029,2.77224368,61.31036925,923.8590871
Fev-19,1126.55,31.25368956,47.12197011,11.46545521,32.36995416,4.58,158,45.88414744,2.766111373,64.68243956,926.7104098
Mar-19,1176.89,30.79350823,45.50324134,11.12195575,31.06579097,4.22,160.5,49.61527875,2.842595008,64.74288311,931.9523598
Abr-19,1198.96,33.02728388,46.39985693,11.05696936,34.01638334,4.1,162,48.8067046,3.464206148,68.55012156,937.8146163
Mai-19,1106.5,35.05973212,48.83811828,11.50259029,35.75543531,4.7,164.2,47.73510031,3.430244197,68.8277327,951.3859746
Jun-19,1082.8,36.09553393,50.9715323,11.98612683,38.61639093,5.07,175.35,50.48230404,3.482976712,75.61794915,963.3160184
Jul-19,1218.2,40.75909529,46.51128698,11.59557809,41.46220597,7.72,179.9,48.52419074,4.084036447,82.48417817,972.6197876
Ago-19,1190.53,43.28057523,44.11025187,11.74051613,44.32686748,7.73,212.2,44.39364329,3.887366332,91.45697818,977.0203958
Set-19,1221.14,42.45463542,43.60647253,12.61124715,42.935792,7.92,204,46.51736816,4.151937413,95.35965463,987.9569782
Out-19,1258.8,47.07667343,46.15633441,13.11837621,40.78239109,7.42,203.09,45.98156601,5.943119894,109.482956,997.0584141
Nov-19,1304.09,46.43445341,46.19399033,12.69736341,42.53911289,8.81,207.5,48.68980232,4.946555949,112.4589018,998.9605093
Dez-19,1339.39,41.81241541,51.22324261,13.50823819,47.11574613,11.17,202.65,53.3,4.815356114,111.2782063,1003.737232
Jan-20,1432.78,47.29094827,47.07262772,12.32902364,53.29714121,14,217,50.27,3.880711787,123.8174381,1009.138275
Fev-20,1339.25,47.09472027,45.85180191,11.91277001,49.23252611,13.81,229,44.31,3.647599688,119.511438,1014.455996
Mar-20,1161.95,35.8043376,27.42743735,8.713510678,26.20154794,5.28,263.9,43.22,2.959058499,101.6510479,1023.849373
Abr-20,1346.7,38.31762258,28.02732035,8.942029202,34.06201232,9.18,295.4,44.86,2.973566209,104.6386245,1029.608192
Mai-20,1433.52,45.42862333,30.32851086,8.80293097,38.33595303,12.4,292.2,53,3.179097179,109.292337,1034.845008
Jun-20,1418.05,54.94320218,31.61678418,9.549785973,40.84117704,15.31,310,55.92,3.309631132,110.62,1038.114128
Jul-20,1487.95,63.44,33.02306727,10.62525718,50.8343372,19.52,327.99,60.71,2.996689248,124.1,1040.409291
