Data,ABEV3,AAPL,BBDC4,LAME4,WMT,DOLOF,IBOV,OZ1D,BOND10,HTMX11,149454,FLRY3
set/11,6.959,11.768,8.21,7,41.743,1.854,52324,97.9,1.924,68.051,10.74,8.119
out/11,7.127,12.492,9.205,7.457,45.619,1.689,58338,93.5,2.17,64.05,10.838,7.833
nov/11,7.625,11.795,8.788,7.457,47.373,1.811,56874,101.7,2.07,64.996,10.945,7.453
dez/11,8.394,12.499,9.315,7.062,48.369,1.876,56754,95,1.87,70.06,11.045,7.765
jan/12,7.994,14.088,9.517,8.347,49.664,1.739,63072,95.6,1.799,76.059,11.149,8.291
fev/12,8.935,16.741,9.474,9.044,47.818,1.709,65811,96,1.98,90.396,11.239,8.886
mar/12,9.812,18.503,9.688,8.534,49.868,1.822,64510,95.7,2.21,86.076,11.34,8.745
abr/12,10.51,18.023,9.31,8.891,48.002,1.892,61820,100.8,1.93,82.595,11.431,8.912
mai/12,9.759,17.83,9.002,7.706,53.998,2.022,54490,101,1.58,87.646,11.524,8.759
jun/12,9.908,18.023,9.175,8.404,57.197,2.021,54354,103.35,1.58,98.279,11.606,9.253
jul/12,10.087,18.849,9.69,9.235,61.061,2.05,56097,106,1.49,112.268,11.692,7.769
ago/12,10.004,20.619,10.126,9.267,59.884,2.037,57061,110.95,1.56,119.395,11.783,8.048
set/12,10.085,20.677,10.001,10.084,60.874,2.031,59175,115.9,1.64,133.226,11.854,8.851
out/12,10.803,18.452,9.832,10.802,61.88,2.031,57068,112.7,1.69,107.497,11.935,8.719
nov/12,12.29,18.223,10.911,11.945,59.405,2.107,57474,117,1.61,111.278,12.001,8.395
dez/12,13.386,16.57,10.986,11.647,56.593,2.044,60952,109.5,1.75,122.829,12.073,8.45
jan/13,14.398,14.182,11.44,11.298,58.02,1.988,59761,107,1.99,117.277,12.142,8.156
fev/13,14.067,13.824,11.068,11.483,58.708,1.975,57424,100,1.89,117.746,12.196,8.065
mar/13,13.324,13.863,11.775,11.104,62.468,2.014,56352,103.5,1.87,102.827,12.264,7.002
abr/13,13.182,13.867,11.355,11.244,64.88,2.002,55910,95,1.7,99.008,12.347,7.002
mai/13,13.223,14.178,11.856,11.008,62.851,2.132,53506,94.6,2.16,105.301,12.424,7.339
jun/13,13.308,12.501,10.025,9.981,62.557,2.216,47457,88.4,2.52,103.613,12.494,6.672
jul/13,13.858,14.266,9.649,10.153,65.454,2.29,48234,97,2.59,106.982,12.595,7.112
ago/13,13.485,15.461,9.659,9.649,61.661,2.373,50011,107.9,2.75,108.682,12.681,6.865
set/13,13.752,15.129,10.598,10.407,62.489,2.23,52338,94,2.62,109.702,12.773,6.828
out/13,13.552,16.587,11.268,10.599,64.846,2.203,54256,95,2.57,113.378,12.876,6.456
nov/13,14.259,17.749,10.828,10.164,68.446,2.325,52482,92.5,2.75,118.391,12.962,7.325
dez/13,14.064,17.907,10.294,10.056,66.872,2.343,51507,90.5,3.04,122.469,13.068,6.939
jan/14,13.26,15.978,9.264,9.406,63.465,2.426,47638,96.59,2.67,123.402,13.178,6.958
fev/14,13.912,16.897,9.758,9.259,63.482,2.333,47094,98.7,2.66,98.784,13.29,7.542
mar/14,13.969,17.234,11.153,10.762,65.371,2.263,50414,94,2.72,90.436,13.395,7.271
abr/14,13.537,18.947,11.876,10.864,68.176,2.236,51626,92.05,2.65,83.617,13.507,5.881
mai/14,13.171,20.439,11.174,10.686,66.068,2.239,51239,90.6,2.46,82.443,13.631,6.73
jun/14,13.088,21.004,11.552,11.337,64.605,2.203,53168,94,2.52,96.805,13.747,6.604
jul/14,13.141,21.608,12.482,11.619,63.323,2.267,55829,93,2.56,99.21,13.878,5.865
ago/14,13.669,23.282,14.738,12.736,65.403,2.24,61288,92.5,2.34,100.232,14.005,6.286
set/14,13.451,22.885,12.579,11.191,66.244,2.451,54115,95,2.51,100.373,14.129,5.563
out/14,13.949,24.532,13.483,11.779,66.07,2.444,54628,93.79,2.34,97.792,14.266,6.459
nov/14,14.332,27.132,14.3,13.632,75.833,2.56,54724,97.3,2.19,90.308,14.391,6.532
dez/14,13.907,25.181,12.914,13.889,74.811,2.656,50007,101.4,2.17,77.125,14.53,6.667
jan/15,15.204,26.728,12.432,12.54,74.027,2.662,46907,109,1.67,79.492,14.672,5.672
fev/15,15.816,29.421,13.927,13.46,73.112,2.878,51583,111.2,2,78.069,14.795,5.656
mar/15,15.99,28.498,13.195,13.309,72.079,3.208,51150,122.8,1.93,61.911,14.948,6.553
abr/15,16.414,28.663,14.311,13.568,68.398,2.994,56229,115.5,2.05,62.702,15.093,6.704
mai/15,15.946,29.963,12.561,13.091,65.497,3.179,52760,121.9,2.1,66.64,15.252,7.085
jun/15,16.643,28.846,12.784,14.029,62.551,3.103,53080,118.89,2.34,70.628,15.41,7.516
jul/15,16.957,27.897,12.245,13.949,63.477,3.394,50864,119.5,2.2,75.257,15.598,7.372
ago/15,16.634,26.051,10.354,13.188,57.473,3.647,46625,131.5,2.2,70.212,15.762,6.838
set/15,17.052,25.482,9.63,13.145,57.571,3.973,45059,141,2.06,63.136,15.921,6.694
out/15,16.762,27.608,9.449,13.558,50.823,3.859,45868,140.25,2.15,61.719,16.099,6.752
nov/15,16.367,27.448,9.511,13.988,52.244,3.851,45120,132,2.22,62.133,16.274,6.677
dez/15,15.805,24.422,9.102,15.741,54.884,3.905,43349,135.5,2.27,62.052,16.469,6.591
jan/16,16.523,22.585,8.577,15.153,59.414,4.043,40405,142,1.93,57.769,16.656,6.014
fev/16,15.729,22.555,10.095,16.169,59.396,3.98,42793,158.3,1.74,52.062,16.824,6.714
mar/16,16.781,25.425,12.817,16.227,61.775,3.559,50055,143.5,1.79,59.906,17.025,8.877
abr/16,17.289,21.867,13.498,15.651,60.314,3.451,53910,143,1.82,59.982,17.223,10.353
mai/16,17.04,23.437,11.892,15.006,64.308,3.595,48471,140.3,1.83,66.604,17.412,10.755
