Data,BRAP4,ITSA4,RENT3,VVAR3,SULA11,DASA3,VALE3,EQTL3,MYPK3,PETR4
dez/14,10.99545778,4.657752765,9.831063736,6.548285803,9.618051576,10.60554657,18.52767936,5.019513756,10.33475857,9.304376584
jan/15,8.927081454,4.533744438,9.63006533,7.607567331,8.500539774,10.90067399,15.7371115,4.530247072,9.470704984,7.595788469
fev/15,10.18040986,5.155632485,9.657658641,7.414970689,9.744702913,10.1771358,17.96956579,5.021325854,10.50019935,8.88651536
mar/15,8.142790061,5.107018581,10.01637168,7.4149,10.5865618,8.55869512,15.17054166,5.66280884,8.721239959,9.03508824
abr/15,9.746992972,5.429405525,9.719445459,5.467931681,10.74657993,9.566424431,19.78853471,5.890588973,9.545635777,12.11797549
mai/15,9.010913005,4.964758945,8.896366268,6.362684138,9.936802425,8.818747973,17.51700313,6.216208664,10.39606515,11.44939753
jun/15,8.509407972,5.023963907,8.545523655,6.839885448,11.48067729,9.729379557,15.97935098,6.470081643,10.93409189,11.80225812
jul/15,7.959370195,4.736396949,7.855933763,7.655104354,13.10629817,9.777307535,15.61241127,6.438807435,10.58697786,9.750095223
ago/15,7.579197025,4.151392309,6.265177069,7.655104354,13.27316076,9.307613349,15.65609457,6.503195509,13.00809821,8.533654771
set/15,6.632808495,4.079964361,6.83270538,2.704140759,13.53862398,8.62703606,14.48538214,6.229086279,13.14694382,6.722922801
out/15,6.67325245,4.114249776,7.31125989,2.88309125,14.38290278,8.617450465,15.20418453,6.32658822,13.88456113,7.159355635
nov/15,4.527434676,4.142820955,7.471545203,2.88309125,16.37356339,8.818747973,11.73734527,6.457204028,12.62627278,7.122212415
dez/15,4.246597563,4.001894111,6.979441172,1.441545625,14.28828805,9.681451579,11.6125747,6.362019279,10.67375637,6.221489332
jan/16,2.825391565,4.001894111,6.20664712,1.222828358,13.87368969,9.969019447,8.662642064,6.72062609,9.276622405,4.494329607
fev/16,3.429616869,4.078149429,6.506649215,2.236881142,12.3227847,10.14156017,10.52528835,7.114536162,8.382885298,4.772903757
mar/16,5.208251921,4.896176463,8.411379499,2.40588994,12.50260284,10.22783053,13.50195754,7.610639885,11.23342151,7.753647153
abr/16,7.208152577,5.189827194,9.393466063,2.953282579,13.0478877,11.96279261,17.54808871,8.033857051,12.92065478,9.499378488
mai/16,5.931620243,4.706801707,9.466063996,2.58536522,11.66909598,9.552952368,12.6731245,8.611750859,12.83185302,7.465787199
jun/16,7.531540768,5.01398245,9.821931064,3.08255084,12.18322171,10.84908158,14.50012206,9.187756124,12.16583989,8.747228285
jul/16,9.191032801,5.522647336,11.53218455,2.883676592,13.4295871,13.77737352,16.48753891,10.48707292,15.36270293,11.0222505
ago/16,8.748501592,5.733252807,11.53504613,2.87373288,12.72071678,20.54604831,15.09723833,9.550356161,16.16191869,11.93225939
set/16,8.305970384,5.56963639,11.34904316,3.074782328,12.64281895,20.54604831,15.87259827,9.503142614,15.54918661,12.60083735
out/16,11.04625979,6.30424071,11.38600664,3.731531951,15.01091319,18.38583295,19.67810049,10.75335732,14.38588367,16.426589
nov/16,12.72277226,5.74994836,9.958087055,3.612122929,14.62142401,17.85778031,25.00758604,9.912956197,11.73959149,14.85728796
dez/16,12.73639772,5.736637718,9.897085339,3.582270673,14.25634289,17.00329512,23.02095236,10.32823194,10.35428417,13.807992
jan/17,17.83953351,6.42946836,10.65773217,3.233994358,14.72363413,19.48676658,28.84790681,11.03070359,11.73899085,13.94727907
fev/17,20.1123587,7.116879831,11.14362063,4.020103755,15.38100995,22.38084083,29.33199226,11.30030082,12.79631335,14.09585195
mar/17,18.77439368,6.744175401,12.10712308,3.622073681,15.47879783,20.46110491,26.70538048,11.16170506,15.13357379,13.45513141
abr/17,17.44532719,7.021041549,13.74290668,4.477838341,15.57154077,25.60799396,25.44714663,11.02620838,15.16988711,12.97226955
mai/17,16.803761,6.353723141,13.26466515,3.67182744,16.55461601,27.78862947,25.16923823,10.24177296,13.3905347,12.03440325
jun/17,18.10447053,6.414167066,13.77414056,4.000202252,16.41550159,25.08695716,26.86447952,10.39137189,15.10633881,11.48654075
jul/17,20.28403786,6.577721215,15.89592298,5.831140596,16.27638717,27.98160606,28.99511065,10.87469151,15.3242187,12.34083481
ago/17,23.62369747,7.311556833,18.23896365,6.667003753,16.67518184,27.54740872,32.4967566,11.72241879,18.3382238,12.67512379
set/17,21.18047281,7.918161205,17.72961927,7.801389466,16.59171319,25.71413109,29.52313663,11.74735194,19.50932819,14.20728161
out/17,21.09258703,7.523329957,17.77877434,7.562571421,16.62881037,27.98160606,29.73619974,11.69940357,20.32637776,15.57229494
nov/17,22.24389074,7.451542458,18.46080094,7.323753376,16.59171319,26.05184013,32.55233829,12.2651944,19.31868328,14.28156805
dez/17,26.09486195,7.89978309,20.39485653,7.918286199,17.30583388,26.53428161,37.69369895,12.59124335,20.88015581,14.95014601
jan/18,28.42995231,9.673948793,23.83406172,8.088035084,19.19904919,26.2776122,38.80784454,13.44800948,21.60642209,18.2930358
fev/18,31.04670727,10.14705176,23.98198452,7.868360057,20.19210346,27.15030043,42.17836904,13.75539256,20.27377587,19.92733747
mar/18,28.6116714,10.67743943,26.61231444,8.137961226,20.75956304,28.26540205,39.96835375,13.73618112,24.01832117,19.88090845
abr/18,33.48997954,10.53806749,25.84322597,8.11,20.6014724,26.20003991,46.08528257,13.8839439,25.78963794,21.32949403
mai/18,29.33669467,8.695260682,22.91513009,6.5,18.65757769,25.69582005,47.94119286,11.86233239,21.83400308,17.65970676
jun/18,27.52846181,7.830270867,22.04897323,5.89,17.41882125,25.21099325,46.95642413,11.07983604,19.41104424,15.99422335
jul/18,30.68345144,8.887954514,22.06755643,7.15,21.0302727,25.69582005,51.92761241,11.95209506,21.39763605,18.34823062
ago/18,29.26135164,8.355324706,20.00482063,5.7,21.88787331,25.98671612,52.23583834,11.12276602,20.88706339,17.96505229
set/18,34.91207934,8.81344956,21.20034049,5.06,24.7751287,25.21099325,58.27578981,11.21252869,17.93548885,19.67201208
out/18,32.54819158,9.808234956,26.79163908,5.6,23.63166122,27.15030043,55.24607222,13.26731336,18.19841748,25.76296698
nov/18,29.93002108,10.7681156,25.07697418,5.18,25.6327293,26.19034338,51.43700605,14.17469691,22.80905886,23.84292231
dez/18,29.84526017,10.56556915,27.87282594,4.39,27.25264156,26.18064684,49.68347175,14.5493585,22.59984894,21.95256894
jan/19,27.04208808,11.8075483,31.19882702,6,31.03649688,30.69734147,44.32545029,17.20126008,21.21405392,24.75955527
fev/19,27.70540272,11.46545521,32.36995416,4.58,29.39281948,29.50905728,45.88414744,16.02653988,20.61607387,26.19208622
mar/19,30.66628545,11.12195575,31.06579097,4.22,29.01533336,28.22174942,49.61527875,15.61089968,20.35979671,27.16001254
abr/19,30.66628545,11.05696936,34.01638334,4.1,30.37846983,28.51882046,48.8067046,16.02068579,18.86959248,26.2588231
mai/19,30.07355257,11.50259029,35.75543531,4.7,33.99078146,28.71686783,47.73510031,17.00778904,18.77467501,24.84157986
jun/19,32.17968084,11.98612683,38.61639093,5.07,36.5320573,28.22174942,50.48230404,18.12321572,21.17608693,26.65000798
jul/19,30.97477955,11.59557809,41.46220597,7.72,40.91356737,30.50919647,48.52419074,18.65625148,20.89224462,25.35688465
ago/19,27.84987295,11.74051613,44.32686748,7.73,47.17425843,29.60808097,44.39364329,18.9069757,18.66233487,24.98780287
set/19,30.91600388,12.61124715,42.935792,7.92,46.61632099,32.67781511,46.51736816,19.79931704,18.35608117,26.99662624
out/19,31.35682142,13.11837621,40.78239109,7.42,47.18302537,31.68757829,45.98156601,20.11321588,16.69082667,29.77958154
nov/19,33.50213348,12.69736341,42.53911289,8.81,51.97070034,49.50193871,48.68980232,20.37381114,18.51877845,28.7533445
dez/19,38.28,13.50823819,47.11574613,11.17,58.84759696,57.14656697,53.3,22.49608313,22.37566099,30.17940164
jan/20,37.01,12.32902364,53.29714121,14,61.87247343,65,50.27,23.53254155,20.78696991,28.44943594
fev/20,33.39,11.91277001,49.23252611,13.81,53.09247482,70,44.31,24.34196621,18.6049123,25.3394976
mar/20,29.16,8.713510678,26.20154794,5.28,33.42336447,75,43.22,17.37301725,11.02,13.98972263
abr/20,29.86,8.942029202,34.06201232,9.18,44.25134792,70,44.86,18.09360262,12.71,18.04964213
mai/20,35.25,8.80293097,38.33595303,12.4,44.35023362,65,53,19.79142022,13.81,20.33959673
jun/20,36.51,9.549785973,40.84117704,15.31,44.77388225,66.5,55.92,22.92053753,13.52,21.54957274
jul/20,43.05,10.62525718,50.8343372,19.52,50.7,71,60.71,25.53,12.85,22.2
