Data,BRFS3,MRFG3,ITSA3,ABEV3,UGPA3,GGBR3,FRLY3,CIEL3,IGTA3,IBOV,DINAMO
01/04/2013,46.21924785,6.81,5.653634351,13.18227605,23.60463803,11.7132582,7.001638162,11.54239386,21.48557831,55910,407.9901625
01/05/2013,46.61141116,7.58,5.947814748,13.22256418,24.04135659,10.44918562,7.338889843,11.95990321,22.19192899,53506,414.1306537
01/06/2013,45.23883956,7.5,5.720302709,13.30797501,22.46916978,9.668748519,6.67171804,12.17735599,19.65264299,47457,395.0778312
01/07/2013,45.76833413,7.21,5.733303397,13.8575051,23.14608354,10.85674722,7.111611537,12.22954466,20.56464008,48234,406.2897717
01/08/2013,51.98378692,6.12,5.014321787,13.48524278,26.01969165,12.46491124,6.86506605,12.70141721,19.67052529,50011,410.2323726
01/09/2013,50.85370459,6.05,4.602096116,13.75219393,28.65821312,11.94190797,6.82785702,13.28246376,21.73593045,52338,418.7019584
01/10/2013,49.53527521,4.55,4.527939117,13.55243958,30.65186639,12.94433091,6.455766719,15.06852746,23.02345574,54256,433.5535584
01/11/2013,48.13208966,4.32,4.449419941,14.2588879,30.34243018,13.17851019,7.324626972,15.01312846,21.2978142,52482,434.4223864
01/12/2013,46.38046206,4,5.592865977,14.0640056,29.04279812,13.25758125,6.938838897,14.54777687,19.93875973,51507,428.5122301
01/01/2014,41.07022969,4.16,4.271716534,13.26048975,31.06297449,12.46687064,6.957694437,14.23532653,17.91806031,47638,411.3850398
01/02/2014,40.7662872,4.1,4.104226293,13.91156414,28.39460164,10.27923795,7.542216192,14.07134549,19.11617412,47094,409.0383717
01/03/2014,43.02685951,4.39,4.517585352,13.96925427,29.88434519,10.46495543,7.270696409,16.32158589,19.45593774,50414,424.153084
01/04/2014,47.96592506,4.16,4.305258841,13.53653212,29.97381928,9.554575016,5.880938829,17.83163166,20.10809971,51626,431.960052
01/05/2014,45.79083658,5.3,4.363083933,13.1711288,28.06354751,9.695430873,6.730058339,18.07089152,20.06274991,51239,431.7772406
01/06/2014,50.72040392,5.96,4.33072792,13.08808259,27.04354292,9.215106775,6.604262856,20.54023393,20.26799355,53168,444.5857869
01/07/2014,53.12712427,6.62,4.753845016,13.14107932,26.56485655,9.588692185,5.865214394,18.73449908,22.02055751,55829,449.7235196
01/08/2014,57.33900439,7.6,5.448241022,13.66940606,28.48286567,9.543477861,6.28584304,18.94215859,24.97176624,61288,470.7217665
01/09/2014,55.74997689,6.66,4.530563139,13.45136645,31.62799038,8.979992289,5.562519013,18.36609586,22.52907347,54115,450.5881949
01/10/2014,61.73276116,6.05,4.978088243,13.94936069,32.81987481,8.210789762,6.458811829,18.68291101,22.7924121,54628,458.3734556
01/11/2014,63.56110003,6.54,5.254648701,14.33211754,30.93008086,8.185639893,6.532151015,20.17974783,23.33725064,54724,472.2873659
01/12/2014,60.7276534,6.1,4.902450702,13.90683215,32.22619854,7.232147773,6.667298967,19.13288036,22.33837999,50007,456.6710332
01/01/2015,62.15075229,5,4.791261099,15.20415609,33.55403937,6.629468792,5.672118593,18.36609586,22.06596072,46907,445.1906197
01/02/2015,62.19902097,4.82,5.434040054,15.81646187,34.07563414,7.52898966,5.655737023,20.52870365,24.74475019,51583,481.5768281
01/03/2015,61.1081488,4.04,5.264633529,15.98979296,32.5327766,7.122793817,6.552627978,21.21560153,25.6074112,51150,504.1906393
01/04/2015,62.17005976,4.24,5.457496342,16.41445413,33.11420956,7.077425703,6.7041575,23.369201,24.81132931,56229,519.4548506
01/05/2015,62.21832844,4.07,5.045708175,15.94646019,31.63544699,6.596000222,7.085029001,22.28822222,24.29672396,52760,524.6777242
01/06/2015,63.40573797,5.69,5.14622029,16.64293516,31.33786319,5.60797245,7.516029202,24.41674744,22.59668844,53080,524.2567086
01/07/2015,69.91624534,5.31,4.882017016,16.95662399,30.28945257,4.610796272,7.372358518,24.36659894,21.99018928,50864,534.3010807
01/08/2015,67.63012907,6.4,4.269220403,16.63422158,29.94150844,4.131191124,6.838067103,21.36883305,18.93012533,46625,510.4446701
01/09/2015,68.67104158,7.17,4.429279791,17.0522047,33.23818161,4.094140083,6.693890989,20.5823458,18.88417842,45059,503.7510172
01/10/2015,58.46620767,6.37,4.353615353,16.76244015,32.68127267,3.797731751,6.751561434,20.55427386,19.59176078,45868,527.4225153
01/11/2015,53.54376156,5.88,4.365256036,16.36730667,34.73719483,3.880830678,6.677413719,19.71211569,19.89501036,45120,518.0405754
01/12/2015,53.89397512,6.35,4.163293005,15.80533906,35.97631721,3.25428693,6.590908051,18.85872874,17.3771199,43349,515.0845953
01/01/2016,47.51701832,6.1,4.086304657,16.52255613,34.34271766,2.431363798,6.014203596,19.0159316,18.54417132,40405,502.1350622
01/02/2016,50.64015637,6.25,4.259402851,15.7289741,34.4948113,2.580986186,6.714487577,17.41021667,20.12474489,42793,518.6348164
01/03/2016,50.66627252,6.49,4.89053842,16.78113903,35.36833545,4.516725825,8.877129281,19.80206833,22.69777163,50055,566.4080777
01/04/2016,48.58274426,6.49,5.177141046,17.2893882,36.67862168,5.29289196,10.35266295,22.76360157,24.86923013,53910,595.0588325
01/05/2016,45.09703111,6.29,4.702112439,17.03972194,32.96849221,3.675099895,10.75466787,21.5744582,24.12408466,48471,581.6434662
01/06/2016,44.56380586,5.62,4.819749276,16.98622203,35.22274809,4.011750267,11.39704688,23.00822535,26.23843494,51526,610.7464413
01/07/2016,54.3,5.68,5.47179346,16.87639497,38.29417173,5.17132377,12.93875649,24.97201068,28.4459284,57308,643.2850909
01/08/2016,53.85,5.11,5.659783209,17.2264904,35.38242455,6.058029988,15.94719311,22.82475751,26.73209381,57901,632.6946385
01/09/2016,55.32,5.22,5.61559271,17.79202917,33.71557968,6.151952933,15.99724969,22.2735242,27.66352565,58367,633.4484829
01/10/2016,53.4,5.69,6.023505013,16.90332539,28.73811043,7.607758589,17.62408865,22.19816008,28.08266998,64924,653.8007545
01/11/2016,51.65,6.51,5.608794171,15.5271575,23.77014924,8.913651496,16.29341781,20.36201597,25.42808924,61906,611.174556
01/12/2016,48.25,6.61,5.668732805,15.05076922,21.84476715,7.435886676,15.71812399,19.10823101,24.84128718,60227,612.1045739
01/01/2017,44.46,6.46,6.198191037,15.84893379,19.32513133,8.123000255,16.74542354,18.2203805,27.75666884,64670,647.1211664
01/02/2017,40.62,6.25,7.022097311,16.43866156,19.82652713,8.584213479,19.09983538,18.76375915,28.96753023,66662,666.3865007
01/03/2017,38.61,5.71,6.548169053,16.80724141,17.97727126,9.930203093,18.85477587,19.59220556,30.55096436,64984,666.7055509
01/04/2017,39.79,7.22,6.750764339,16.8256704,21.30978444,9.101901792,23.41023235,20.01436188,31.52729738,65403,679.7735561
01/05/2017,43.32,6.3,6.244276125,17.24032274,22.75451559,8.904238982,25.30462473,18.94305371,30.22514492,62711,680.7955119
01/06/2017,39.2,6.76,6.255148341,17.02105035,25.61989903,9.563115016,23.89163089,20.52894372,31.28967832,62899,685.0456912
01/07/2017,36.92,6.42,6.50158524,17.80191776,27.54620723,10.00550321,26.77110729,21.78070858,34.88247857,65920,708.6729352
01/08/2017,42.52,7.13,7.220399116,18.46193664,25.72103021,11.09861789,28.4413179,18.71805722,35.54781194,70835.05,736.9764774
01/09/2017,45.67,6.47,7.677849643,19.55886943,22.93470726,10.40082883,26.44055642,18.63723163,37.31569778,74293.51,765.6880657
01/10/2017,44.25,6.43,7.377762098,19.42872486,20.49484479,10.22166678,25.91120697,18.97639873,36.5743263,74308.49,749.6518308
01/11/2017,38.48,6.85,7.282612388,19.11265948,20.18254239,9.023108756,23.53362046,19.41731594,36.46977391,71970.99,751.0466257
01/12/2017,36.6,7.32,7.834485215,20.07966431,19.6164943,9.808138135,26.56616477,20.04297257,37.43925969,76402.08,781.4709612
01/01/2018,35.35,6.81,9.793106519,20.71187179,19.41154585,11.69031701,27.03561583,22.90625436,40.87047897,84912.7,810.9543855
01/02/2018,29.92,5.97,10.49630914,20.82546523,16.2142141,12.80638287,24.44920859,20.61392459,37.53430732,85353.6,806.3802881
01/03/2018,22.83,5.94,11.04459436,22.78495219,18.25827154,12.46561044,25.02600409,17.93619754,37.31569778,85365.56,788.5716022
01/04/2018,24.8,7.92,11.00514938,22.08445927,18.63350914,13.33772919,24.07623311,16.64451391,34.57224712,86115.5,782.794844
