Data,AMZN,AAPL,BBDC4,BBAS3,ITSA4,PETR4,CDI 252,OZ1D,S&P 500,LFT 252 ,EURO11
ago/14,339,04,23,282,14,738,25,31,5,372,21,682,10,81,92,5,2003,37,10,9,123,171
set/14,322,44,22,885,12,579,18,495,4,575,16,798,10,81,95,1972,29,10,9,122,458
out/14,305,46,24,532,13,483,20,271,4,881,14,189,11,06,93,79,2018,05,11,15,122,627
nov/14,338,64,27,132,14,3,21,724,5,172,11,886,11,06,97,3,2067,56,11,15,122,161
dez/14,310,35,25,181,12,914,17,656,4,658,9,304,11,57,101,4,2058,9,11,65,122,359
jan/15,354,53,26,728,12,432,15,346,4,534,7,596,12,08,109,1994,99,12,15,122,592
fev/15,380,16,29,421,13,927,17,685,5,156,8,887,12,09,111,2,2104,5,12,15,122,861
mar/15,372,1,28,498,13,195,17,355,5,107,9,035,12,6,122,8,2067,89,12,65,121,879
abr/15,421,78,28,663,14,311,20,165,5,429,12,118,13,11,115,5,2085,51,13,15,126,317
mai/15,429,23,29,963,12,561,17,547,4,965,11,449,13,13,121,9,2107,39,13,15,126,441
jun/15,434,09,28,846,12,784,18,974,5,024,11,802,13,64,118,89,2063,12,13,65,122,018
jul/15,536,15,27,897,12,245,17,231,4,736,9,75,14,13,119,5,2103,92,14,15,122,445
ago/15,512,89,26,051,10,354,14,04,4,151,8,534,14,13,131,5,1972,18,14,15,123,496
set/15,511,89,25,482,9,63,12,167,4,08,6,723,14,13,141,1920,03,14,15,121,04
out/15,625,9,27,608,9,449,12,783,4,114,7,159,14,14,140,25,2079,36,14,15,116,24
nov/15,664,8,27,448,9,511,13,16,4,143,7,122,14,14,132,002,2080,41,14,15,117,637
dez/15,675,89,24,422,9,102,12,096,4,002,6,221,14,14,135,5,2043,94,14,15,116,798
jan/16,587,22,585,8,577,11,366,4,002,4,494,14,13,142,1940,24,14,15,115,656
fev/16,552,52,22,555,10,095,11,111,4,078,4,773,14,13,158,3,1932,23,14,15,118,66
mar/16,593,64,25,425,12,817,16,394,4,896,7,754,14,13,143,5,2059,74,14,15,123,145
abr/16,659,59,21,867,13,498,18,334,5,19,9,499,14,13,143,2065,3,14,15,126,447
mai/16,722,79,23,437,11,892,13,766,4,707,7,466,14,13,140,3,2096,95,14,15,130,365
jun/16,715,62,22,437,13,245,14,479,5,014,8,747,14,13,136,2098,86,14,15,124,85
jul/16,758,81,24,458,14,929,17,74,5,523,11,022,14,13,140,3,2173,6,14,15,140,71
ago/16,769,16,25,036,15,307,19,684,5,733,11,932,14,13,134,55,2170,95,14,15,145,933
set/16,837,31,26,676,15,639,19,443,5,57,12,601,14,13,139,2168,27,14,15,148,093
out/16,789,82,26,792,18,019,24,978,6,304,16,427,13,88,129,5,2126,15,13,9,149,016
nov/16,750,57,26,213,16,04,24,399,5,75,14,857,13,88,127,2198,81,13,9,150,663
dez/16,749,87,27,47,15,811,24,12,5,737,13,808,13,63,118,8,2238,83,13,65,149,957
jan/17,823,48,28,782,17,84,26,713,6,429,13,947,12,88,121,69,2278,87,12,9,153,508
fev/17,845,04,32,632,18,243,28,422,7,117,14,096,12,13,124,2,2363,64,12,15,155,076
mar/17,886,54,34,221,17,685,29,081,6,744,13,455,12,13,125,2362,72,12,15,162,577
abr/17,924,99,34,219,18,259,28,289,7,021,12,972,11,13,129,2384,2,11,15,161,063
mai/17,994,62,36,539,16,554,24,573,6,354,12,034,11,13,131,2411,8,11,15,159,034
jun/17,968,34,448,16,944,23,305,6,414,11,487,10,14,131,5,2423,41,10,15,156,744
jul/17,987,78,35,575,18,308,24,958,6,578,12,341,9,14,126,7,2470,3,9,15,150,402
ago/17,980,6,39,381,20,377,26,874,7,312,12,675,9,14,132,2471,65,9,15,150,851
set/17,961,35,37,009,21,28,30,62,7,918,14,207,8,14,133,1,2519,36,8,15,172,637
out/17,1105,28,40,592,21,067,30,217,7,523,15,572,7,39,133,5,2575,26,7,4,172,224
nov/17,1176,75,41,415,19,845,26,438,7,452,14,282,7,39,132,2647,58,7,4,165,999
dez/17,1169,47,40,783,21,1,28,183,7,9,14,95,6,89,135,3,2673,61,6,9,162,867
jan/18,1450,89,40,35,25,415,35,145,9,674,18,293,6,89,136,2823,81,6,9,168,12
fev/18,1512,45,43,101,24,192,37,022,10,147,19,927,6,64,141,2713,83,6,65,170,655
mar/18,1447,34,40,599,24,66,36,622,10,677,19,881,6,39,141,45,2640,87,6,4,168,957
abr/18,1566,13,39,989,23,753,32,757,10,538,21,329,6,39,147,4,2648,05,6,4,164,263
mai/18,1629,62,45,392,20,054,27,29,8,695,17,66,6,39,156,2,2705,31,6,4,149,33
jun/18,1699,8,44,965,18,505,25,821,7,83,15,994,6,39,156,65,2718,37,6,4,153,824
jul/18,1777,44,46,223,21,166,29,291,8,888,18,348,6,39,146,1,2816,29,6,4,150,367
ago/18,2012,71,55,487,19,688,27,38,8,355,17,965,6,39,157,2901,52,6,4,150,193
set/18,2003,55,027,19,902,26,872,8,813,19,672,6,39,154,2913,98,6,4,147,454
out/18,1598,01,53,35,23,827,39,008,9,808,25,763,6,4,145,99,2711,74,6,4,150,058
nov/18,1690,17,43,683,26,73,41,113,10,768,23,843,6,4,150,7,2760,17,6,4,154,498
