Data,Petrobras,Vale ,Embraer,Itau Unibanco,JBS,RaiaDrogasil,Engie Brasil,Natura,Amazon (NASDAQ),Lojas Renner
Jun-15,11.80225812,15.97935098,22.91077025,13.98786306,15.14092499,38.30060811,19.82087608,12.82336387,434.09,17.40802137
Jul-15,9.750095223,15.61241127,23.14317029,13.53107479,14.2617148,41.57832982,21.0151143,12.11018817,536.15,16.77486236
Ago-15,8.533654771,15.65609457,22.29032536,12.10036602,13.09560444,37.9374786,19.71658588,11.268278,512.89,15.17732978
Set-15,6.722922801,14.48538214,24.73469524,12.08896564,15.54813813,37.47706928,19.84591352,9.275281595,511.89,14.20788969
Out-15,7.159355635,15.20418453,27.43126202,12.0775588,13.18815288,38.33012789,19.91057733,10.89251018,625.9,14.28510648
Nov-15,7.122212415,11.73734527,29.48763668,12.68702926,11.4945164,38.00424033,19.93298381,10.07438278,664.8,13.51293857
Dez-15,6.221489332,11.6125747,29.32492441,12.11383792,11.42973249,34.12010816,19.95085558,11.17314691,675.89,13.24186295
Jan-16,4.494329607,8.662642064,27.93590016,11.4854743,9.995231655,39.89013772,20.15935959,10.659439,587,13.73746484
Fev-16,4.772903757,10.52528835,29.33463786,12.01886329,10.5505223,44.24651004,21.0291192,12.77790196,552.52,13.9388031
Mar-16,7.753647153,13.50195754,23.20686536,14.77678642,10.13405432,50.34001146,21.85122074,12.75867261,593.64,16.14904602
Abr-16,9.499378488,17.54808871,20.01531323,15.57021861,8.366379089,53.07881668,22.7269376,12.25870955,659.59,16.27873096
Mai-16,7.465787199,12.6731245,18.29304272,13.767002,9.689431058,55.68261038,21.31955108,10.8261231,722.79,16.38061998
Jun-16,8.747228285,14.50012206,17.06623511,14.36680422,9.689431058,61.03859222,23.0200677,12.25870955,715.62,18.61897822
Jul-16,11.0222505,16.48753891,14.46241524,16.02952995,10.56147985,64.07408762,25.36353582,16.00843248,758.81,21.42479301
Ago-16,11.93225939,15.09723833,13.97480852,17.20533049,12.11178882,57.69374697,23.98868563,14.97966234,769.16,20.1437067
Set-16,12.60083735,15.87259827,13.6814435,17.05409067,11.45290751,64.21770368,23.68113838,15.0133137,837.31,19.28604061
Out-16,16.426589,19.67810049,16.74780557,20.28910829,9.408437557,68.65519738,24.94208211,14.73929549,789.82,21.28006116
Nov-16,14.85728796,25.00758604,16.18140748,18.72190219,9.456884712,62.48339937,22.45300508,12.59522315,750.57,17.71762129
Dez-16,13.807992,23.02095236,15.62477487,18.16683233,11.04595141,59.4411097,21.92064652,11.13755505,749.87,18.32050674
Jan-17,13.94727907,28.84790681,17.57787173,19.99505944,11.53042296,63.62792426,22.42168987,12.22615187,823.48,18.88190337
Fev-17,14.09585195,29.33199226,17.50951334,21.91581099,11.33663434,57.70227025,23.16072881,12.39548915,845.04,20.20237148
Mar-17,13.45513141,26.70538048,17.01819453,20.75744687,9.89290911,57.14686516,22.15237907,14.10842862,886.54,22.04365684
